"Katsesõna"	"ÜS_definitsioon"
"kasutajaskond"	"inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi, moodustades selle tarbijaskonna või sihtrühma"
"peoloom"	"inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda, pidutsemist nautiv isik"
"pesakond"	"lindude, loomade vm järglaste rühm, kes on sündinud samal ajal ja keda kasvatatakse koos ühe vanemapaariga"
"suitsetama"	"tubakat või muid suitsetatavaid aineid sigareti, sigari, piibu vm kaudu sisse hingama ja välja puhuma"
"sugupuu"	"esivanemate ja järeltulijate järjestikune loetelu või skeem, mis näitab perekondlikke seoseid ja päritolu"
"kategooriline"	"kindel, tingimusteta, järeleandmatu; midagi kindlalt väitma või nõudma, ilma kahtluste või eranditeta"
"personal"	"töötajaskond, mingi asutuse, ettevõtte vms teenistuses olevad inimesed, kes täidavad teatud ülesandeid ja kohustusi"
"perspektiivitu"	"tulevikuväljavaadeteta, edasise arengu või eduvõimalusteta, lootusetu või sihitu olukord või seisund"
"pesto"	"Itaalia päritolu paks kaste, mis valmistatakse tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust, ning mida kasutatakse toitude maitsestamiseks või lisandina pastaroogadele"
"summaarne"	"kogusummana esinev, kokkuvõtlikult arvestatud või väljendatud, kõigi osade või elementide kogumina käsitletav"
"transport"	"inimeste, kaupade või informatsiooni liikumine ühest kohast teise, sageli sõidukite või muude vahendite abil, et hõlbustada liikumist ja ühendust erinevate paikade vahel"
"transs"	"teadvuse seisund, kus inimene on sügavalt keskendunud, sageli välismaailmast eraldunud ja tavapärasest erinevas vaimses seisundis"
"akne"	"nahahaigus, mida iseloomustavad põletikulised ja mittepõletikulised vistrikud, tavaliselt näol, seljal ja rinnal, sageli seotud rasunäärmete talitlushäiretega"
"aktiivsüsi"	"poorne süsinikmaterjal, millel on suur pindala ja mida kasutatakse adsorbendina gaaside, vedelike või lahustunud ainete eemaldamiseks või puhastamiseks"
"aktsent"	"kõneviisile iseloomulik hääldus, mis viitab kõneleja keelelisele või piirkondlikule taustale, rõhuasetus sõnades või lausetes, mis võib eristada kõnelejat teistest keelekasutajatest."
"debatt"	"avalik arutelu või vaidlus, kus osalejad esitavad ja kaitsevad oma seisukohti teatud teemal, eesmärgiga jõuda selgusele või veenda teisi oma vaatenurgas"
"deegu"	"väike näriline, kes kuulub okassaba-deegude sugukonda, tuntud oma sotsiaalse käitumise ja aktiivsuse poolest, sageli peetav lemmikloomana."
"defekt"	"puudus või viga, mis rikub terviklikkust, funktsionaalsust või välimust"
"filosofeerima"	"sügavamõtteliselt arutlema, mõtisklema elu, maailma või abstraktsete teemade üle, sageli teoreetilises või spekulatiivses võtmes"
"huligaan"	"isik, kes käitub avalikus kohas häirivalt, korda rikkudes või vägivaldselt, sageli teistele kahju tekitades või neid ohustades"
