"Katsesõna"	"definitsioon ÜS"	"definitsioon ÕS"	"definitsioon KÕ"
"kasutajaskond"	"inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi"	"kasutajate kogum"	"inimesed, kes kasutavad sama asja või teenust"
"peoloom"	"inimene, kes armastab sageli pidudel käia ja seal aktiivselt osaleda"	"pidudel käimist armastav inimene"	"keegi, kes käib tihti pidudel ja naudib seal olemist"
"pesakond"	"samal ajal sündinud või koorunud loomapoegade rühm, kes on pärit samadest vanematest"	"samade vanemate järglased"	"loomapojad, kes on sündinud või koorunud korraga ja samadest vanematest"
"suitsetama"	"tubakat või muud ainet sigareti, sigari, piibu vm kaudu sisse hingama ja välja puhuma"	"tubakat suitsetama"	"sigaretti, sigarit või piipu tõmbama, tubakat suitsetama"
"sugupuu"	"sugulaste põlvnemise järjestus, sugulaste järjestikune järgnevus põlvkondade kaupa"	"sugulaste põlvnemise järjestus"	"joonis või tabel, mis näitab, kes on kellega sugulane ja kuidas nad on seotud põlvkondade kaupa"
"kategooriline"	"tingimusteta, kindel, kompromissitu, mis ei luba erandeid ega vastuväiteid"	"tingimusteta, kindel"	"täiesti kindel ja järeleandmatu, mis ei luba vastuväiteid"
"personal"	"ettevõtte, asutuse või organisatsiooni töötajaskond, kogu tööjõud"	"töötajaskond"	"kõik inimesed, kes töötavad mingis asutuses või ettevõttes"
"perspektiivitu"	"ilma tulevikuväljavaadeteta, lootusetu, arenguvõimalusteta"	"lootusetu, tulevikuta"	"selline, millel pole tulevikus midagi head oodata või millel puuduvad arenguvõimalused"
"pesto"	"Itaalia päritolu paks kaste, mis valmistatakse tavaliselt basiilikust, küüslaugust, oliiviõlist, piiniaseemnetest ja juustust, ning mida kasutatakse pasta, salatite ja muude toitude maitsestamiseks"	"basiilikust ja teistest koostisosadest valmistatud kaste"	"roheline kaste, mida pannakse pasta peale või kasutatakse toidu maitsestamiseks"
"summaarne"	"kogusummat väljendav, kokkuvõttev, üldine"	"kogusummat väljendav"	"kokkuvõttes saadud või arvestatud kogusumma, üldine koguarv või -kogus"
"transport"	"inimeste, kaupade või informatsiooni liikumine ühest kohast teise, kasutades erinevaid vahendeid või meetodeid"	"vedu, veondus"	"see, kuidas inimesed ja asjad ühest kohast teise liiguvad, näiteks autoga, rongiga või laevaga"
"transs"	"teadvusseisund, kus inimene on sügavalt keskendunud ja välistest ärritajatest eraldunud, sageli hüpnoosi või meditatsiooni tulemusena"	"teadvusseisund, kus inimene on välistest ärritajatest eraldunud"	"seisund, kus inimene on nii süvenenud, et ei pane ümbrust tähele"
"akne"	"nahahaigus, mida iseloomustavad rasunäärmete põletik ja ummistus, mille tagajärjel tekivad nahale vistrikud ja komedoonid"	"nahahaigus, mille korral tekivad vistrikud"	"vistrikud nahal, mis tekivad rasunäärmete põletiku tõttu"
"aktiivsüsi"	"poorne süsinikmaterjal, millel on suur adsorptsioonivõime ja mida kasutatakse peamiselt vedelike ja gaaside puhastamiseks"	"poorne süsinik, mis adsorbeerib aineid"	"süsi, mis imeb endasse teisi aineid ja mida kasutatakse puhastamiseks"
"aktsent"	"hääldusviis, mis on iseloomulik teatud keelele, murdele või isikule, sageli viidates võõrkeele mõjutustele"	"hääldusviis"	"see, kuidas keegi räägib, kui tema kõnelemisviis erineb tavapärasest keelekasutusest, sageli võõrkeele tõttu"
"debatt"	"avalik arutelu, kus osalejad esitavad oma seisukohti ja argumente mingi teema kohta"	"avalik arutelu"	"arutelu, kus inimesed räägivad oma arvamustest ja põhjendavad neid"
"deegu"	"väike näriline, kes kuulub harilike deegu perekonda ja on pärit Lõuna-Ameerikast, sageli peetav lemmikloomana"	"väike Lõuna-Ameerika näriline"	"väike karvane loom, keda peetakse tihti kodus lemmikloomana ja kes on pärit Lõuna-Ameerikast"
"defekt"	"puudus, viga, mis vähendab eseme, toote, süsteemi vms väärtust või kasutuskõlblikkust"	"puudus, viga"	"asi, mis on katki või ei tööta korralikult"
"filosofeerima"	"filosoofilisi küsimusi arutama, mõtisklema elu, maailma või olemise üle"	"filosoofilisi küsimusi arutama"	"sügavalt mõtlema elu ja maailma üle, arutlema filosoofilistel teemadel"
"huligaan"	"isik, kes käitub avalikus kohas vägivaldselt, häirivalt või seadust rikkudes"	"avaliku korra rikkuja"	"inimene, kes teeb pahandust või rikub korda, eriti avalikus kohas"
