Katsesõna	ÜS_definitsioon	ÕS_definitsioon	KÕ_definitsioon
kasutajaskond	mingi toote, teenuse või süsteemi kasutajate kogum, kes moodustavad selle tarbijate sihtrühma	kasutajate ring	inimesed, kes midagi kasutavad või tarbivad
peoloom	inimene, kes naudib pidudel käimist, on alati valmis pidutsema ning kelle jaoks on peod ja pidutsemised elu lahutamatu osa	pidutsemishimuline inimene	inimene, kes armastab pidudel käia
pesakond	ühel pesitsusperioodil välja haudunud ja üleskasvatatud järglaskond lindudel ja imetajatel	ühe pesakonna järglased	ühes pesas koos kasvavad linnupojad või loomapoegad
suitsetama	tubakasuitsu sissehingamise ja väljahingamise teel nikotiini organismis toimima panema, tubakatooteid tarvitades suitsu tekitama ja seda hingamisteedesse tõmbama	tubakatooteid tarvitama	sigarette, sigareid vms põletades suitsu sisse hingama
sugupuu	skemaatiline kujutis, mis näitab isikute põlvnemist ja sugulust, hõlmates tavaliselt mitut põlvkonda ning kujutades nende vahelisi veresuguluse sidemeid	sugulussuhete skeem	joonis, mis näitab inimeste sugulust läbi mitme põlvkonna
kategooriline	täielikult, jäägitult, eranditult ja vaidlustamist välistavalt kehtiv, absoluutne, tingimusteta	tingimusteta, absoluutne	selline, mis kehtib alati ja igal juhul, ilma eranditeta
personal	organisatsiooni või asutuse töötajaskond, koosseis; isikkoosseis, isiklik koosseis	isikkoosseis, töötajad	asutuse või ettevõtte töötajad, personal
perspektiivitu	tulevikuväljavaateid mittepakkuv, edasiarenemise või edasijõudmise võimalusi mitteandev, väljavaatetu	tulevikuväljavaateid mittepakkuv	selline, millel pole häid väljavaateid tulevikuks
pesto	Itaalia päritolu rohelist värvi kaste, mis valmistatakse tavaliselt basiilikust, oliiviõlist, parmesani juustust, seedermänniseemnetest ja küüslaugust ning mida kasutatakse pastaroogade maitsestamiseks või leiva määrimiseks.	basiilikust, juustust jm valmistatud roheline kaste	Itaalia roheline kaste, mida süüakse tavaliselt koos pastaga
summaarne	kõiki üksikuid osi või nähtusi hõlmav, kogusummat või lõpptulemust väljendav, kokkuvõtlik, summariseeriv	kokkuvõtlik, kogusummat väljendav	kõike kokku arvestav, terviklik
transport	inimeste, kaupade või materjalide ühest kohast teise toimetamise või vedamise protsess, selleks kasutatavad vahendid ja seadmed	vedu, veondus	inimeste või asjade ühest kohast teise viimine
transs	teadvuse muutunud seisund, mille puhul inimene on ümbritsevast reaalsusest irdunud ning tema tähelepanu on koondunud sisemistele elamustele, mõtetele või kujutlustele	hüpnootiline teadvusseisund	seisund, kus inimene on reaalsusest eemal ja keskendunud oma sisemistele tunnetele
akne	naha rasunäärmete põletik, mille tagajärjel tekivad näole, kaelale, seljale ja rinnale vistrikud, mädavillid ning sõlmekesed	naha rasunäärmete põletik	nahahaigus, mille puhul näole ja kehale tekivad punased täpid ja vistrikud
aktiivsüsi	poorne süsinik, mida kasutatakse oma suure imamisvõime tõttu mitmesuguste ainete, näiteks mürkide, seedeelundkonnast eemaldamiseks, vee ja õhu puhastamiseks ning ravimite koostises toimeainete sidumiseks	poorne süsinik, mida kasutatakse adsorbendina	aine, mis imab endasse mürke ja muid kahjulikke aineid
aktsent	kõnes või muusikas mingi hääliku, silbi või heli esiletõstmine hääletugevuse, kõrguse või vältuse muutmise teel; võõrapärane hääldusviis, mis avaldub häälikute moodustamise iseärasustes, kõne rütmis, dünaamikas ja meloodias	1. rõhk; 2. võõrapärane hääldusviis	1. rõhk sõnas või lauses; 2. võõrapärane hääldamine
debatt	avalik vaidlus, milles osalejad esitavad vastastikku oma seisukohti ja argumente mingi küsimuse kohta ning püüavad üksteist ümber veenda	avalik väitlus, vaidlus	avalik arutelu, kus inimesed väljendavad oma arvamusi ja vaidlevad omavahel
deegu	väike näriline, kes on pärit Lõuna-Ameerikast ja keda peetakse lemmikloomana, iseloomulik on tema kompaktne kehaehitus, pehme karv ning sõbralik ja uudishimulik iseloom	Lõuna-Ameerika väikenäriline, lemmikloom	väike pehme karvaga loom, keda peetakse lemmikuna
defekt	toote või eseme valmistamisel või kasutamisel tekkinud viga, mis takistab selle normaalset toimimist või kasutamist ning vähendab selle väärtust	puudus, viga	asi, mis on katki või valesti
filosofeerima	abstraktsete mõttekäikude kaudu maailma, elu ja inimese olemuslike küsimuste üle arutlema, mõtisklema ja järeldusi tegema	filosofeerides arutlema	filosofia teemadel mõtisklema ja arutlema
huligaan	ühiskondlikku korda rikkuv, kaklusi ja laamendamist armastav inimene, kes käitub väljakutsuvalt, sündsusetu ja jõhkralt	laamendaja, märatseja	inimene, kes armastab kakelda ja teeb pahandusi
