Katsesõna	ÜS_definitsioon
kasutajaskond	mingi teenuse, toote või süsteemi kasutajate kogum
peoloom	Seltskondlik ja lõbus inimene, kes naudib pidusid ja oskab luua head meeleolu.
pesakond	ÜSi definitsioon - üheaegselt, tavaliselt ühest loomast sündinud poegade rühm
suitsetama	Tubakat või muud ainet põletades sellest eralduvat suitsu sisse hingama ja välja puhuma.
sugupuu	Perekonna või suguvõsa liikmete sugulussidemeid ja põlvnemisjärjestust kujutav skemaatiline esitus, tavaliselt puu kujul.
kategooriline	täiesti kindel, tingimusteta, kahtlust mitte võimaldav
personal	asutuse, ettevõtte või organisatsiooni kõik töötajad kokku
perspektiivitu	edasimineku-, arengu- või lootusetust tähistav; ilma tulevikuväljavaateteta
pesto	Itaaliast pärit kaste, mis on tavaliselt valmistatud basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist.
summaarne	kokkuvõtlik, üldine, terviklik;  mitmest osast või komponendist koosnev tervik käsitletud ühe ühikuna.
transport	ÜSi definitsioon - inimeste, kaupade või muu sellise ühest kohast teise viimine või toimetamine.
transs	teadvusseisund, kus inimene on osaliselt või täielikult eraldunud tavapärasest reaalsustajust, näiteks sügava keskendumise, meditatsiooni, hüpnoosi või teatud rituaalide tagajärjel.
akne	nahal, eriti näol, seljal ja rinnal esinev põletikuline haigus, mille korral ummistuvad rasunäärmed ja tekivad vistrikud.
aktiivsüsi	poorne süsiniku vorm, millel on suur pindala ja mis seetõttu suudab tõhusalt adsorbeerida gaase, vedelikke ja lahustunud aineid.
aktsent	häälduse eripära, rõhk silbil, sõnal või sõnaosal, mis eristab seda teistest; rõhuasetus, esiletõstmine
debatt	avalik arutelu mingil kindlal teemal, kus osalejad esitavad oma seisukohti ja argumente, sageli eesmärgiga jõuda ühisele lahendusele või veenda publikut.
deegu	Tšiili päritolu väike näriline, keda peetakse ka lemmikloomana.
defekt	vigane koht, viga, puudus, rike
filosofeerima	eluliste küsimuste, näiteks maailma olemuse, teadmiste, väärtuste, mõtlemise jms üle sügavuti ja üldistavalt mõtisklema, arutlema
huligaan	vägivaldne ja korrarikkumisele kalduv isik, kes tekitab avalikus kohas pahandusi ja häirib avalikku korda.
