Katsesõna	ÜS_definitsioon	ÕS_definitsioon	KÕ_definitsioon
kasutajaskond	mingi toote, teenuse või süsteemi kasutajate kogum, kes seda regulaarselt või eesmärgipäraselt tarvitavad	kasutajate kogum	need inimesed, kes midagi kasutavad
peoloom	inimene, kes armastab pidutseda, käib sageli pidudel ning on seal aktiivne ja seltsiv	pidudel käimist armastav inimene	see, kes käib tihti pidudel ja tunneb end seal hästi
pesakond	korraga sündinud või koorunud järglaste hulk, samast pesast pärit noorloomad või -linnud; ühise eluaseme või päritoluga inimeste rühm	korraga sündinud järglased	loomade või lindude pojad, kes on sündinud või koorunud samal ajal samas pesas
suitsetama	tubakat või muud suitsetatavat ainet põletama ja selle suitsu sisse hingama, tervisele kahjulikku harjumust harrastama	tubakat põletama ja suitsu sisse hingama	sigaretti, piipu või muud taolist põletama ja selle suitsu sisse tõmbama
sugupuu	skemaatiline joonis või tabel, mis kujutab perekonna või suguvõsa liikmete omavahelisi sugulussuhteid ja põlvnemist	sugulussuhete skeem	joonis, mis näitab, kes kellega sugulane on ja kes kellest põlvneb
kategooriline	kindel, otsustav, tingimusteta ja vastuväiteid mittetaluv seisukoht või väide	tingimusteta, otsustav	selline, mis ei luba mingeid muid võimalusi ega vastuväiteid
personal	asutuse, ettevõtte või organisatsiooni koosseisu kuuluvad töötajad, kes täidavad erinevaid tööülesandeid ja funktsioone	töötajaskond, kaader	inimesed, kes töötavad mingis asutuses või ettevõttes
perspektiivitu	tulevikuväljavaadete või edasise arengu võimaluste poolest lootusetu, edasist edu või arengut mittepakkuv	väljavaateta, lootusetu	selline, millel pole tulevikku või head väljavaated
pesto	basiilikust, küüslaugust, parmesani juustust, piiniapähklitest ja oliiviõlist valmistatud pastataoline kaste või määre	basiilikukaste	roheline pastataoline kaste, mida tehakse basiilikust ja õlist
summaarne	üksikute osade või näitajate liitmisel või kokkuarvutamisel saadud kogusummat väljendav, koondav	kokkuvõtlik, koguarvuline	selline, mis näitab mitme asja või arvu kokkuliitmisel saadud tulemust
transport	inimeste, kaupade või muu vedu ühest kohast teise, kasutades selleks erinevaid liiklusvahendeid või -viise	vedu, veondus	see, kui kedagi või midagi viiakse ühest kohast teise
transs	teadvuse muutunud seisund, milles inimene on ümbritsevast maailmast osaliselt või täielikult eraldunud, ekstaatiline või meditatiivne seisund	teadvuse eriline seisund	seisund, kus inimene ei taju hästi ümbritsevat ja on nagu teises maailmas
akne	noorukieas esinev nahahaigus, mis avaldub näol, rinnal või seljal tekkivate põletikuliste vistrike ja mustpeadena	noorukite vistrikud	nahahaigus, mille puhul tekivad näole ja kehale vistrikud
aktiivsüsi	töödeldud süsi, millel on suur poorsus ja erakordne võime siduda enda külge erinevaid aineid ning mida kasutatakse filtreerimiseks ja puhastamiseks	töödeldud poorne süsi filtreerimiseks	eriline süsi, mis neelab endasse kahjulikke aineid ja mida kasutatakse puhastamiseks
aktsent	kõnes või häälduses esinev võõrapärasus, mis tuleneb emakeele või muu keele mõjust; rõhk või pearõhk; millegi eriline rõhutamine või esiletõstmine	võõrapärane hääldus; rõhk	see, kuidas inimene räägib võõrkeelt oma emakeele hääldusega; sõna rõhuline osa
debatt	avalik arutelu või vaidlus kindlal teemal, kus eri pooled esitavad oma seisukohti ja argumente	avalik mõttevahetus, väitlus	see, kui inimesed arutavad avalikult mingit teemat ja vaidlevad oma seisukohtade üle
deegu	Lõuna-Ameerika päritolu väike näriline, kes on aktiivne päevaajal ning keda peetakse lemmikloomana	päevase eluviisiga näriline	väike loom, keda inimesed peavad kodus lemmikloomana ja kes on ärkvel päeval
defekt	ese või nähtus, millel on puudus, viga või rike, mis takistab selle normaalset toimimist või kasutamist	viga, puudus, rike	see, kui miski on katki või ei tööta nii nagu peaks
filosofeerima	mõtisklema ja arutlema sügavamõtteliselt elu, maailma ja inimese olemuse üle, püüdes leida vastuseid põhimõttelistele küsimustele	targutama, arutlema	mõtisklema millegi üle pikalt ja sügavuti
huligaan	avalikus kohas korda rikkuv, teisi inimesi häiriv või vara kahjustav isik, kes käitub ühiskonnas kehtivate normide vastaselt	korrarikkuja, märatseja	inimene, kes teeb pahandust ja rikub avalikku korda
