Katsesõna	ÜS_definitsioon	ÕS_definitsioon	KÕ_definitsioon
kasutajaskond	mingi toote, teenuse, süsteemi vms kasutajate kogum või ring	kasutajate kogum	need, kes midagi kasutavad
peoloom	inimene, kes armastab pidutseda, seltskondlikult aega veeta ja meelelahutuses aktiivselt osaleda	seltsiv pidutseja	inimene, kes armastab pidudel käia ja ennast hästi tunda
pesakond	ühest pesast pärit või ühel korral sündinud loomapojad, eriti imetajate pojad	ühel korral sündinud pojad	loomapojad, kes on korraga sündinud
suitsetama	tubakat või muid aineid põletades tekkivat suitsu sisse hingama	suitsu sisse tõmbama	suitsu imema
sugupuu	perekonna põlvnemissuhteid kujutav skeem või diagramm, mis näitab inimeste omavahelisi sugulusseoseid ja põlvkondade järgnevust	sugulussuhteid näitav skeem	diagramm, mis näitab, kes on kelle sugulased
kategooriline	täiesti selge, ümberlükkamatu, vastuvaidlemist mitte salliv; tingimusteta, kindel, absoluutne	tingimatu, kindel, absoluutne	ümberlükkamatu, täiesti kindel
personal	ettevõtte või asutuse töötajate kogum, tööjõud	töötajaskond	inimesed, kes töötavad mingis kohas
perspektiivitu	tulevikuväljavaadete, arenguvõimaluste või positiivsete muutuste puudumisega, lootusetu	lootusetu	ilma lootuseta või võimalusteta tulevikus paremaks muutuda
pesto	Itaaliast pärinev, tavaliselt basiilikust, seedermänniseemnetest, oliiviõlist, küüslaugust ja parmesani juustust valmistatud paks kaste	Itaalia basiilikukaste	roheline kaste pastale
summaarne	mingi terviku või kogumi kohta kokkuvõtlik, üldistav; mis on saadud teatud andmete summeerimise teel	kokkuvõttev, üldistav	kokkuvõttev, kõik kokku
transport	inimeste või kaupade vedamine ühest kohast teise, kasutades selleks erinevaid vahendeid	veondus	inimeste või asjade ühest kohast teise viimine
transs	teadvuse eriline seisund, milles on nõrgenenud kontakt väliskeskkonnaga ning tähelepanu on koondunud sisemistele aistingutele, mõtetele või kujutlustele	teadvuse eriline seisund	eriline seisund, kus sa ei saa päriselt aru, mis su ümber toimub
akne	rasunäärmete põletik, mis väljendub nahal esinevate punetavate sõlmekestena ja mädavistrikutena	vistrikuline nahapõletik	nahalööve, mis näeb välja nagu punased täpid ja vistrikud
aktiivsüsi	poorne, suure eripinnaga süsinikmaterjal, mida saadakse orgaaniliste ainete kuumutamisel hapnikuvabas keskkonnas ja aktiveerimisel ning mida kasutatakse adsorbendina gaaside ja vedelike puhastamiseks	poorne süsinikmaterjal, adsorbent	poorne aine, mis imeb endasse gaase ja vedelikke
aktsent	hääldusviis, mis on omane mingile keelelisele piirkonnale, sotsiaalsele grupile või isikule	hääldusviis	viis, kuidas keegi mingit keelt hääldab
debatt	avalik arutelu, väitlus, kus osapooled kaitsevad oma seisukohti mingi kindla teema või küsimuse kohta	avalik väitlus	arutelu, kus räägitakse erinevatel seisukohtadel põhinevatest mõtetest
deegu	Lõuna-Ameerikast pärinev näriline (Octodon degus), keda peetakse lemmikloomana, iseloomulik pika saba ja pruunika karvaga.	Tšiili näriline	väike näriline, mida peetakse lemmikloomana
defekt	millegi (tavaliselt eseme, süsteemi vms) ehituses, struktuuris, toimimises või väljanägemises esinev viga või puudus, mis muudab selle mittetäiuslikuks või mittesobilikuks	puudus, viga	asi, mis on katki või valesti tehtud
filosofeerima	sügavamalt, laiemalt mõtisklema, maailma või mingi konkreetse küsimuse üle arutlema	mõtisklema, arutlema	mõtlema elu, maailma või millegi muu üle sügavuti
huligaan	avaliku korra rikkumise, vägivalla ja vandalismi kaudu silma paistev isik	huligaansusega tegeleja	pahandust tegev ja korda rikkuv inimene
