Katsesõna	ÜS_definitsioon
kasutajaskond	mingit toodet, teenust, veebisaiti vms regulaarselt kasutavate inimeste kogum
peoloom	inimene, kes naudib väga pidudel käimist ja on seal alati aktiivne ning lõbus
pesakond	ühekorraga ilmale toodud loomapojad (enamasti imetajatel ja lindudel)
suitsetama	põletatavaid (tubaka)tooteid (sigaretti, piipu jne) sisse hingama, et omandada nikotiinist või muudest ainetest tekitatud mõnu
sugupuu	perekonna põlvnemise skeem, esivanemate ja järeltulijate järjestikune loetelu
kategooriline	tingimusteta, mööndusteta, kindel, otsustav; jäik
personal	mingi organisatsiooni või ettevõtte töötajate koosseis; kaadrikoosseis.
perspektiivitu	tulevikuväljavaadeteta, lootusetu; arengu- või edenemisvõimaluseta
pesto	itaaliapärane basiilikust, küüslaugust, seedermänniseemnetest, Parmesani juustust ja oliiviõlist valmistatud roheline kaste, mida kasutatakse peamiselt pasta, aga ka teiste toitude maitsestamiseks
summaarne	kokkuvõtlik, üldistav, peamisi punkte esile toov
transport	inimeste või kaupade toimetamine ühest kohast teise, veondus
transs	teadvuse muundunud seisund, kus välismaailmaga kontakt on nõrgenenud ja keskendutakse sisemistele aistingutele, mõtetele vms; ekstaasitaoline seisund
akne	peamiselt näo, selja ja rinna nahal esinevad põletikulised vistrikud ja punnid
aktiivsüsi	poorne süsinikmaterjal, mida saadakse orgaaniliste ainete (nt puidu, kookospähklikoorte) kuumutamisel ja aktiveerimisel ning mida kasutatakse adsorbendina gaaside, vedelike ja värvainete puhastamiseks.
aktsent	hääldusviis, mis on omane mingile keelelisele või geograafilisele piirkonnale, sotsiaalsele grupile või isikule ja mis erineb mingist standardsest hääldusest.
debatt	avalik arutelu, väitlus kindlaksmääratud reeglite järgi, kus osalejad püüavad oma seisukohti argumentidega kaitsta ja teisi veenda
deegu	Lõuna-Ameerikast pärit väike näriline (Octodon degus), keda peetakse ka lemmikloomana
defekt	mingi puudus, viga või rike, mis teeb midagi ebatäiuslikuks või töökorrast välja viib
filosofeerima	mõtlema ja arutlema sügavate, üldiste küsimuste üle, eriti elu, teadmiste, moraali ja olemise kohta
huligaan	avalikku korda jämedalt rikkuv, teisi inimesi ähvardav ja kahjustav isik
