Katsesõna	ÜS_definitsioon	ÕS_definitsioon	KÕ_definitsioon
kasutajaskond	Inimeste rühm, kes kasutab mingit teenust, toodet või kes on huvitatud mingist kindlast valdkonnast, teemast või tegevusest.	Mingi teenuse, toote vms kasutajate hulk.	Inimesed, kes midagi kasutavad.
peoloom	Loom, keda peetakse lemmikloomana, tavaliselt kodus, seltsiks ja/või rõõmuks.	Lemmikloom.	Loom, keda hoitakse kodus.
pesakond	ühel ajal sündinud poegade, kutsikate, kassipoegade vm. rühm; poegimise, kutsikate ilmaletoomise vm. tulemusena sündinud järglaste kogum	korraga sündinud pojad	loomapojad, kes on sündinud samal ajal
suitsetama	Tubakatooteid (sigarette, sigareid, piipu vms) põletama ja sisse hingama, tarvitama.	Tubakat põletama ja sisse hingama.	Sigareti vm põletama ja sellest tulevat suitsu sisse hingama.
sugupuu	esivanemate ja nende järeltulijate graafiline esitus, mis näitab sugulussidemeid ja põlvkondade järgnevust	esivanemate ja järeltulijate tabel	joonis, mis näitab, kuidas sugulased on omavahel seotud
kategooriline	tingimusteta, absoluutne, igasuguse kahtluseta kehtiv; jõuline, kindlakäeline, otsusekindel	tingimusteta, absoluutne	täiesti kindel, ilma kahtluseta
personal	asutuse, ettevõtte vms töötajaskond, personali koosseis	töötajaskond	kõik inimesed, kes kuskil töötavad
perspektiivitu	edaspidise arengu või paranemise võimalusi mitteomav, lootusetu, tulevikuta	lootusetu	selline, millel pole tulevikku
pesto	Itaalia päritolu külm kaste, mis valmistatakse basiilikust, oliiviõlist, küüslaugust, riivitud kõvast juustust (parmesani või pecorino) ja männipähklitest.	Itaaliapärane basiiliku-, küüslaugu- ja juustukaste.	Roheline kaste, mida tehakse basiilikust ja mida süüakse tavaliselt pasta peal.
summaarne	kokkuvõttev, kõike hõlmav, üldine; kokku liidetud, summeeritud	kokkuvõttev	kõike kokku arvestav, kokkuvõttev
transport	Inimeste, kaupade või teabe viimine ühest kohast teise, kasutades selleks erinevaid vahendeid nagu autod, rongid, laevad, lennukid või muud transpordivahendid; ka süsteem või protsess, mis selle tegevuse võimaldab.	Vedamine, vedu; veovahendid.	Inimeste või asjade viimine ühest kohast teise.
transs	suguidentiteet, mis erineb sünnihetkel määratud soost; inimene, kelle suguidentiteet erineb sünnihetkel määratud soost; omadussõnana: suguidentiteedile viitav, mis erineb sünnihetkel määratud soost.	sünnihetkel määratud soost erinev suguidentiteet.	kui kellegi sugu ei ole see, mis talle sündides pandi.
akne	nahapõletik, mis avaldub rasunäärmete umtumises ja põletikus, mille tagajärjel tekivad vistrikud, mädavillid ja komedoonid, eriti näole, seljale ja rinnale.	vistrikuline nahapõletik.	nahahaigus, mille korral tekivad näole, seljale ja rinnale vistrikud.
aktiivsüsi	poorne süsinikmaterjal, mis on saadud orgaanilise aine, näiteks puidu, kookospähkli koorte või turba kuivdestilleerimisel ja mida kasutatakse gaaside ja vedelike puhastamiseks, värvainete ja lõhnaainete adsorbeerimiseks.	poorne süsinik	must pulber, mis imab endasse mürke
aktsent	häälduse eripära, mis seisneb silbi rõhulisemas, kõrgema tooniga, pikemas või tugevama hääldamises; rõhk, rõhuline hääldus; rõhuasetus; rõhumärk	rõhk, rõhuline hääldus	see, kui mingit häälikut või silpi hääldatakse teistest tugevamini
debatt	kahe või enama isiku või poole vaheline avalik arutelu mingi kindla teema või küsimuse üle, mille eesmärk on selgitada välja erinevaid seisukohti ja argumente ning jõuda võimalusel ühisele lahendusele või kokkuleppele.	avalik arutelu mingi küsimuse üle.	kui inimesed arutavad avalikult mingit teemat, et selgitada välja erinevaid arvamusi.
deegu	Tšiili päritolu öise eluviisiga näriline, keda peetakse ka lemmikloomana; harilik degu.	Lõuna-Ameerika näriline.	väike karvane loom Lõuna-Ameerikast.
defekt	viga, puudus, rike eseme ehituses või toimimises, mis takistab selle normaalset kasutamist või vähendab selle väärtust	viga, puudus	see, kui miski on katki või ei tööta nii nagu peaks
filosofeerima	Mõtiskleda elu, maailma ja inimese olemuse, teadmise olemuse, väärtuste ja muude abstraktsete küsimuste üle; sügavamõtteliselt arutleda.	Abstraktsete küsimuste üle arutleda.	Mõelda elu ja maailma kohta oluliste küsimuste üle.
huligaan	Korrarikkumisega silma paistev isik; vägivaldne ja agressiivne, avalikku korda rikkuv ja teistele tüli noriv isik.	Avalikku korda rikkuv isik.	Keegi, kes teeb pahandust ja rikub korda.
