Katsesõna	ÜS_definitsioon
kasutajaskond	kindla teenuse, toote või vahendi kasutajate kogumik või ringkond
peoloom	seltskondlikult aktiivne, pidudel teiste lõbustamiseks nalja ja lõbu pärast erinevaid tegevusi tegev inimene
pesakond	ühe ema või vanema poolt ühel ajal sünnitatud või koorunud järglased, poegade või järglaste kogu, peres elavad lapsed
suitsetama	tubakat või muud suitsetamiseks mõeldud ainet põletades sisse hingama
sugupuu	perekonna liikmete põlvnemist ja nendevahelisi sugulussuhteid näitlikult kujutav skeem või tabel
kategooriline	vaieldamatut, absoluutset või üldkehtivat väidet, seisukohta või otsust väljendav või kujutav
personal	asutuse, ettevõtte vms koosseis, töötajad, töölised
perspektiivitu	tulevikuväljavaateid mitteomav, lootusetu, edutuna näiv
pesto	 basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist valmistatud püree või pasta Itaalia päritolu kaste toitude maitsestamiseks
summaarne	kõiki osi, hulka või kogust kokku haarav, kokkuvõtlik, üldine
transport	"inimeste või kaupade vedu, edasitoimetamine; selleks kasutatavad vahendid (sõidukid, teed vms)"
transs	"teadvuseseisund, mida iseloomustab kõrgenenud vastuvõtlikkus sisendusele või oma tegevuse ja ümbruse suhtes vähese teadlikkusega sooritatavad toimingud;hüpnootiline uni või sellega sarnane seisund"
akne	tavaliselt puberteedieas nahka, harvemini teisi elundeid haarav krooniline põletikuline nahahaigus, mis väljendub komedone (mustpeade), punetavate sõlmekeste, mädakoldeid sisaldavate põletikunärude ja armide tekkes
aktiivsüsi	suure eripinnaga käsitletud süsi, mida kasutatakse absorbendina gaaside või vedelike puhastamisel või värvainete eraldamisel lahustitest
aktsent	"sõna või lause heli eriliselt rõhutatud või tugevalt esiletõstetav hääldamine; rõhk; teatud murdele või võõrkeele häälduskujule iseloomulik hääldusviis või selle avaldumine kõnes"
debatt	avalik vaidlus või arutelu, kus osapooled esitavad oma seisukohti ja argumente mõne küsimuse või probleemi kohta, sageli avalikus või ametlikus keskkonnas
deegu	 Lõuna-Ameerikast pärit näriline, kes sarnaneb välimuselt hiire või oravaga, ning on populaarne lemmikloom oma sotsiaalse ja uudishimuliku loomuse tõttu
defekt	mingi asja või objekti viga või puudus, mis võib olla seotud selle valmistamise, ehitamise või funktsioneerimisega ning mis võib takistada selle normaalset toimimist või halvendada selle kvaliteeti.
filosofeerima	sügavama mõtte või tähenduse otsimiseks või leidmiseks mõtlema, arutlema või vestlema, sageli abstraktselt või põhimõtteliselt.
huligaan	inimene, kes käitub korrarikkujana, teeb õigusvastaseid tegusid või põhjustab avalikus kohas segadust ja korratust, sageli vägivaldselt või ülekohtuselt.
